Recording,Event name,Unit number,Global Pre-event M,Global Pre-event SD,Event M,Event Z-Score,sig,Event windows
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,23,243.72268907563026,20.243029454811552,267.0,1.1498926569430532,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,39,59.97478991596638,23.63676888754594,30.0,-1.268142446142878,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,45,6.025210084033613,4.600807720232804,16.0,2.168051899256867,increase,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,50,7.285714285714286,9.963077093050362,1.0,-0.630900898086879,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,54,54.588235294117645,26.64784720669494,9.0,-1.7107661621034875,decrease,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,58,105.0,47.91817254971439,110.0,0.10434454683789483,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,6,3.1092436974789917,2.740269004664043,8.0,1.784772332277143,increase,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,60,10.53781512605042,13.691554113754043,12.0,0.10679466054775488,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,66,38.18487394957983,57.15333443246174,13.0,-0.4406544989836222,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,68,48.63025210084034,19.325111258322142,6.0,-2.2059511860498136,decrease,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,73,57.36134453781513,49.52339759261866,22.0,-0.714033088535219,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,79,29.907563025210084,17.592966316373516,42.0,0.6873449739704021,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,86,14.109243697478991,11.16401023996711,31.0,1.5129649596748103,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,9,15.092436974789916,14.968870553845822,31.0,1.062709639180031,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,95,0.17647058823529413,0.544600058689736,0.0,-0.3240370349203931,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,98,12.865546218487395,15.0650825452967,40.0,1.8011486959946295,increase,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,13,80.50420168067227,33.593935514528255,68.13333333333334,-0.36824707072468305,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,22,269.43697478991595,34.437042459669975,285.1666666666667,0.45676663131487394,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,23,243.72268907563026,20.243029454811552,241.1,-0.1295601076649561,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,39,59.97478991596638,23.63676888754594,64.6,0.19567861013654045,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,45,6.025210084033613,4.600807720232804,7.1,0.23360896201765224,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,50,7.285714285714286,9.963077093050362,4.766666666666667,-0.25283831446057503,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,54,54.588235294117645,26.64784720669494,58.93333333333333,0.16305625011704636,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,58,105.0,47.91817254971439,80.4,-0.5133751704424425,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,6,3.1092436974789917,2.740269004664043,3.566666666666667,0.16692630118033075,not sig,30
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,low_comp,60,10.53781512605042,13.691554113754043,9.033333333333333,-0.10988393137969185,not sig,30
